Table List,Row Count,Table Size in MB,Has Primay Key,Column Count,Table Structure
AbpEditions,3597,1.12,YES,30,CLUSTERED
AbpOrganizationUnits,240942,24.16,YES,15,CLUSTERED
AbpTenants,21912,8.8,YES,59,CLUSTERED
AbpUsers,144051,73.22,YES,56,CLUSTERED
Answer,2723532,647.13,YES,22,CLUSTERED
AnswerDocument,71382,24.9,YES,16,CLUSTERED
Assessment,144060,695.05,YES,69,CLUSTERED
AssessmentAccessMember,44827,10.81,YES,13,CLUSTERED
AssessmentDomain,968778,111.77,YES,15,CLUSTERED
AssessmentOwner,60112,14.09,YES,13,CLUSTERED
AssessmentResponse,85254,9.38,YES,19,CLUSTERED
AssessmentRisk,7454,1.16,YES,13,CLUSTERED
AssessmentScopeRegisterItem,168,0.07,YES,12,CLUSTERED
AssessmentScopeRisk,97,0.07,YES,12,CLUSTERED
AssessmentTag,12284,3.44,YES,12,CLUSTERED
Authority,4296,16.65,YES,29,CLUSTERED
AuthorityProvision,716637,912.78,YES,17,CLUSTERED
ControlQuestion,125853,13.79,YES,11,CLUSTERED
Controls,2550810,1205.27,YES,21,CLUSTERED
Engagement,34893,3.63,YES,18,CLUSTERED
EntityRegister,45258,10.41,YES,23,CLUSTERED
EntityShareLog,14,0.07,YES,13,CLUSTERED
IssueAction,70935,34.94,YES,26,CLUSTERED
IssueAssessment,22095,5.72,YES,13,CLUSTERED
Issues,217167,101.91,YES,33,CLUSTERED
Policy,91248,41.22,YES,33,CLUSTERED
ProvisionQuestion,1312849,129.15,YES,11,CLUSTERED
Question,7501011,13514.86,YES,37,CLUSTERED
QuestionGroup,176046,44.66,YES,15,CLUSTERED
QuestionGroupResponse,3162,0.55,YES,16,CLUSTERED
QuestionTags,521654,88.84,YES,12,CLUSTERED
QuestionUser,99692,19.35,YES,15,CLUSTERED
QuestionVendorUser,1787109,674.48,YES,16,CLUSTERED
Risk,176538,91.84,YES,34,CLUSTERED
Rpt_TenantVendorGroup,5288,1.32,YES,11,CLUSTERED
Rpt_VendorGroup,2985,0.4,YES,14,CLUSTERED
Tags,82095,7.99,YES,13,CLUSTERED
TenantVendor,59490,9.7,YES,20,CLUSTERED
ThirdPartyAttributes,1978569,215.52,YES,24,CLUSTERED
ThirdPartyControl,355365,44.46,YES,24,CLUSTERED
ThirdPartyData,20290,5.15,YES,11,CLUSTERED
ThirdPartyFreeTextControlData,172668,16.8,YES,14,CLUSTERED
ThirdPartyTag,9168,2.34,YES,12,CLUSTERED
UserFavouriteAssessment,1706,0.54,YES,13,CLUSTERED
WorkflowStage,121740,17.09,YES,17,CLUSTERED